milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
VNAF,1972-01-24,A-1,D340,TRAILS,DAMAGED,A-1,FIGHTER
USAF,1971-11-13,AC-119,7161,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1972-08-26,A-37,C217,AAA SITE UNK CAL,DESTROYED,A-37,ATTACK
USAF,1971-01-02,F-100,0474,SUPPLIES\RICE\WEAPONS,DESTROYED,F-100,"FIGHTER, BOMBER"
USN,1973-01-22,A-7,9040,BRIDGE\ANY,DAMAGED,A-7,ATTACK
USAF,1970-05-04,A-1,1054,TRUCKS,DAMAGED,A-1,FIGHTER
USN,1972-04-17,A-4,9020,TRUCKS,DESTROYED,A-4,FIGHTER
VNAF,1972-05-17,A-37,B126,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1973-01-13,A-7,6029,TRUCKS,DESTROYED,A-7,ATTACK
VNAF,1973-01-02,A-37,B108,CAVES,DESTROYED,A-37,ATTACK
VNAF,1971-12-20,A-37,E436,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-08-31,F-4,8105,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-11-09,F-5,D374,MORTAR SITE,DESTROYED,F-5,FIGHTER
USN,1972-08-24,A-7,9205,TRUCKS,DAMAGED,A-7,ATTACK
VNAF,1970-07-31,A-37,E853,TRENCH,DESTROYED,A-37,ATTACK
USMC,1972-08-11,A-6,8932,130MM GUN SITE,DAMAGED,A-6,ATTACK
USAF,1972-09-20,A-37,6214,SAMPANS,DAMAGED,A-37,ATTACK
USAF,1971-01-06,F-4,1404,SUPPLIES\RICE\WEAPONS,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1972-07-17,A-7,1359,BRIDGES,DAMAGED,A-7,ATTACK
USMC,1971-04-02,A-6,0926,TRUCKS,DESTROYED,A-6,ATTACK
USAF,1970-08-10,A-37,5600,SAMPANS,DESTROYED,A-37,ATTACK
VNAF,1972-07-23,A-37,B105,FOX HOLES,DESTROYED,A-37,ATTACK
RLAF,1970-07-27,T-28,7800,SUPPLIES\RICE\WEAPONS,DESTROYED,T-28,TRAIN
VNAF,1973-01-19,A-1,D357,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1971-08-08,A-1,D308,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-01-28,AC-119,5208,TRUCKS,DAMAGED,AC-119,TRANSPORT
USMC,1971-01-13,F-4,0511,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-05-13,A-1,D315,BRIDGES,DESTROYED,A-1,FIGHTER
VNAF,1972-07-02,A-1,D330,AA SITE,DESTROYED,A-1,FIGHTER
VNAF,1973-01-17,A-37,B153,CAVES,DESTROYED,A-37,ATTACK
USAF,1973-05-07,F-4,6845,MORTAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-12,A-37,6504,FOX HOLES,DAMAGED,A-37,ATTACK
USAF,1973-02-19,A-7,6020,CRATE\STORAGE CONT,DESTROYED,A-7,ATTACK
USN,1972-06-21,A-7,3240,CAVES,DESTROYED,A-7,ATTACK
VNAF,1972-12-15,A-37,E408,CAVES,DAMAGED,A-37,ATTACK
VNAF,1973-01-07,A-1,D303,TRAILS,DESTROYED,A-1,FIGHTER
USN,1972-08-14,F-4,9727,SAM CANISTER,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1973-04-11,F-4,6909,BRIDGE\ANY,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1970-11-15,A-37,E376,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-09-26,A-37,E438,CAVES,DESTROYED,A-37,ATTACK
VNAF,1970-10-28,A-1,D935,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-07-22,A-37,E425,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1971-09-12,A-1,D345,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1971-01-15,A-37,E515,BRIDGE\ANY,DESTROYED,A-37,ATTACK
USAF,1970-05-07,A-37,5385,RAILROAD BRIDGE,DESTROYED,A-37,ATTACK
VNAF,1972-12-27,A-37,E454,TRAILS,DESTROYED,A-37,ATTACK
USAF,1970-11-06,F-4,4267,CONSTRUCTION VEHICLES,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-04-28,A-1,D862,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-02-16,A-1,D691,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1971-06-12,A-37,E413,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-11-25,F-4,7006,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-06-23,AC-119,1116,TRUCKS,DAMAGED,AC-119,TRANSPORT
USAF,1971-04-20,F-4,8182,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-11-13,A-37,C202,CAVES,DESTROYED,A-37,ATTACK
USAF,1972-06-30,F-4,6904,WAREHOUSE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-05-08,F-4,6719,BRIDGE\ANY,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1973-01-03,A-7,6015,CAVES,DAMAGED,A-7,ATTACK
USAF,1972-05-08,F-4,7249,POL STORAGE,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1971-01-15,A-7,1729,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1970-03-12,AC-130,1101,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-03-12,A-37,E414,TUNNELS,DAMAGED,A-37,ATTACK
USN,1972-09-18,A-7,1618,WAREHOUSE,DESTROYED,A-7,ATTACK
VNAF,1972-05-28,A-37,E407,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-05-28,A-37,B159,TUNNELS,DESTROYED,A-37,ATTACK
USMC,1971-04-11,A-4,0463,TRUCKS,DAMAGED,A-4,FIGHTER
USAF,1971-01-04,AC-130,1136,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1970-03-27,A-1,D547,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1972-05-10,A-37,E441,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-01-09,AC-119,1531,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1971-11-16,A-1,D338,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1971-09-04,A-37,5151,SUPPLIES\RICE\WEAPONS,DESTROYED,A-37,ATTACK
RAAF,1970-08-28,B-57,6306,AGRICULTURAL AREA,DESTROYED,B-57,"TACTICAL, BOMBER"
USN,1972-06-10,A-7,1361,BOATS\BARGES,DESTROYED,A-7,ATTACK
USAF,1970-05-11,F-100,5901,AA SITE,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1970-06-04,A-37,5801,SAMPANS,DESTROYED,A-37,ATTACK
USAF,1971-08-11,A-37,5420,SUPPLIES\RICE\WEAPONS,DESTROYED,A-37,ATTACK
USAF,1971-08-09,OV-10,4153,SAMPANS,DAMAGED,OV-10,"ATTACK, OBSERV"
USN,1972-07-19,F-4,1354,WATERCRAFT,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-08-18,A-37,6201,FOX HOLES,DAMAGED,A-37,ATTACK
USN,1973-02-06,A-7,9033,TANK,DAMAGED,A-7,ATTACK
USAF,1971-11-16,AC-130,8292,TRUCKS,DESTROYED,AC-130,ATTACK
USAF,1970-08-22,F-100,4693,AUTO WEAPONS\ZPU,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-06-12,A-37,B108,ARTILLERY,DESTROYED,A-37,ATTACK
USN,1971-03-11,A-7,1814,TRUCKS,DAMAGED,A-7,ATTACK
VNAF,1970-09-28,A-37,B437,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-07-02,A-7,3218,BRIDGE\ANY,DAMAGED,A-7,ATTACK
USAF,1971-08-25,OV-10,4376,FOX HOLES,DAMAGED,OV-10,"ATTACK, OBSERV"
USAF,1971-05-08,AC-119,4240,BOATS\BARGES,DAMAGED,AC-119,TRANSPORT
VNAF,1971-10-26,A-37,E403,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-11-13,F-4,9600,ROAD\HIWAY\APPRCH,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-02-01,A-37,E426,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1971-11-02,A-37,E438,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-04-20,AC-119,7918,TRUCKS,DESTROYED,AC-119,TRANSPORT
VNAF,1971-12-21,A-37,E435,TUNNELS,DAMAGED,A-37,ATTACK
VNAF,1971-11-13,A-1,D309,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-06-03,A-37,6231,SAMPANS,DAMAGED,A-37,ATTACK
USN,1972-09-24,A-7,9930,ROAD\HIWAY\APPRCH,DAMAGED,A-7,ATTACK
USAF,1970-09-17,F-4,4200,FOX HOLES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-06-16,F-4,4265,FOX HOLES,DESTROYED,F-4,"FIGHTER, BOMBER"
RAAF,1970-05-03,B-57,5001,TRENCH,DESTROYED,B-57,"TACTICAL, BOMBER"
USN,1972-07-18,A-7,1383,SAM CANISTER,DESTROYED,A-7,ATTACK
USAF,1973-04-26,F-4,6916,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-01-30,F-4,6818,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-07-31,A-37,B127,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-03-29,A-37,E940,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-06-24,F-100,5605,FOX HOLES,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1971-05-19,F-4,5703,FOX HOLES,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-09-08,A-37,E441,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-06-28,A-37,E414,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1970-11-07,F-100,5859,BRIDGES,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1972-11-23,F-4,7020,CONSTRUCTION VEHICLES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-01-18,F-4,1542,CRATE\STORAGE CONT,DESTROYED,F-4,"FIGHTER, BOMBER"
RAAF,1970-01-27,B-57,5801,FOX HOLES,DESTROYED,B-57,"TACTICAL, BOMBER"
USN,1972-09-12,A-4,9754,RAILROAD BRIDGE,DESTROYED,A-4,FIGHTER
USAF,1973-02-12,F-4,8751,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-09-26,F-4,6482,MIG21 ON GND,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-07-27,A-1,D345,FOX HOLES,DESTROYED,A-1,FIGHTER
USN,1972-08-31,A-7,9726,CRATE\STORAGE CONT,DAMAGED,A-7,ATTACK
VNAF,1973-01-02,A-37,E456,CAVES,DESTROYED,A-37,ATTACK
VNAF,1971-10-12,F-5,D359,FOX HOLES,DESTROYED,F-5,FIGHTER
USAF,1971-01-09,F-100,5405,LANDING ZONE CONST,OBSERVED,F-100,"FIGHTER, BOMBER"
USN,1972-07-23,A-6,1358,WATERCRAFT,DAMAGED,A-6,ATTACK
USAF,1971-04-24,F-4,8110,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-04-01,A-1,D025,TUNNELS,DESTROYED,A-1,FIGHTER
USAF,1970-11-17,F-4,0653,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-05-10,A-1,D309,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1971-09-17,F-4,5310,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-12-02,A-1,D357,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1972-06-15,F-4,6951,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-09-01,A-1,D335,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1973-06-01,F-4,6956,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-04-17,A-37,E512,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-07-09,AC-130,1104,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1971-12-04,A-37,E438,TRENCH,DESTROYED,A-37,ATTACK
USAF,1973-04-15,F-4,6805,BRIDGE\ANY,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-17,AC-130,5209,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-06-14,A-37,B102,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1972-08-12,F-4,6963,WAREHOUSE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-05-05,A-37,E414,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1970-08-01,F-4,4439,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-03-25,A-37,E409,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-02-10,A-1,C259,ARTILLERY,OBSERVED,A-1,FIGHTER
USAF,1971-05-16,F-4,5728,LANDING ZONE PREP,OBSERVED,F-4,"FIGHTER, BOMBER"
USAF,1970-05-25,F-100,4057,RAILROAD BRIDGE,DESTROYED,F-100,"FIGHTER, BOMBER"
USN,1972-06-05,A-7,3246,TRACKED VEHICLE,DESTROYED,A-7,ATTACK
USAF,1973-05-11,F-4,6823,FOX HOLES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-08-06,A-37,6251,TANK,DESTROYED,A-37,ATTACK
USN,1973-01-24,A-6,9838,ROCKET SITE,DAMAGED,A-6,ATTACK
USAF,1973-04-05,F-4,6961,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-04-10,F-4,1416,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-12-26,A-1,D406,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-01-29,A-37,6503,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-01-12,F-105,1444,PERSONNEL\ANY,OBSERVED,F-105,"FIGHTER, BOMBER"
VNAF,1970-10-13,A-1,D563,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-12-08,F-4,6951,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
RLAF,1971-08-18,T-28,1391,TRUCKS,DAMAGED,T-28,TRAIN
VNAF,1972-11-10,A-1,D301,TRAILS,DESTROYED,A-1,FIGHTER
USN,1972-03-07,A-7,9435,85MM GUN SITE,DAMAGED,A-7,ATTACK
USAF,1972-02-17,A-1,7862,SUPPLIES\RICE\WEAPONS,DESTROYED,A-1,FIGHTER
VNAF,1972-12-26,A-37,E455,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-03-04,A-37,E438,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1971-12-10,F-5,D374,TRENCH,DESTROYED,F-5,FIGHTER
USAF,1971-12-06,A-37,6200,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1971-12-02,A-37,E436,TUNNELS,DAMAGED,A-37,ATTACK
USAF,1973-02-14,F-4,8639,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-07-16,A-37,E402,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-07-11,F-4,5808,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-01-10,A-37,E408,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-07-27,A-37,B123,AA SITE,DESTROYED,A-37,ATTACK
RLAF,1971-06-21,T-28,1390,BOATS\BARGES,DAMAGED,T-28,TRAIN
VNAF,1971-10-04,A-1,D381,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-03-23,A-37,B117,TUNNELS,DESTROYED,A-37,ATTACK
RLAF,1970-08-12,T-28,7802,CAVES,DAMAGED,T-28,TRAIN
USAF,1972-06-30,F-4,6134,MISSILE TRANSPORTER,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1970-01-07,A-6,1845,TRUCKS,OBSERVED,A-6,ATTACK
VNAF,1971-06-01,A-1,D314,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-01-14,A-1,D340,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-01-10,A-1,D332,TUNNELS,DESTROYED,A-1,FIGHTER
USAF,1970-03-27,A-1,1492,TRUCKS,DAMAGED,A-1,FIGHTER
VNAF,1973-01-07,A-37,E453,CAVES,DESTROYED,A-37,ATTACK
USN,1972-06-29,A-4,3210,BOATS\BARGES,DESTROYED,A-4,FIGHTER
USAF,1971-03-31,F-4,5720,SUPPLY STORAGE\DMPS,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1973-01-10,A-7,9254,CRATE\STORAGE CONT,DESTROYED,A-7,ATTACK
VNAF,1972-04-16,A-1,D307,ARTILLERY,DESTROYED,A-1,FIGHTER
VNAF,1972-08-16,A-37,E427,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1972-10-28,A-7,6006,TOWER\OUTPST\LKOUT,DESTROYED,A-7,ATTACK
VNAF,1972-01-21,A-1,D333,TUNNELS,DESTROYED,A-1,FIGHTER
USAF,1970-04-22,A-37,4097,FOX HOLES,DESTROYED,A-37,ATTACK
USN,1972-09-24,F-4,9604,BRIDGES,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-01-12,A-37,E440,TUNNELS,DESTROYED,A-37,ATTACK
USN,1972-11-15,F-4,9418,STORAGE AREA,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-08-04,OV-10,7703,SAMPANS,DAMAGED,OV-10,"ATTACK, OBSERV"
VNAF,1972-06-02,A-37,E430,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-10-11,A-37,E453,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1971-10-03,A-1,D340,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-12-11,A-37,E419,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-10-02,A-37,E416,CAVES,DESTROYED,A-37,ATTACK
USAF,1970-06-09,A-37,8066,JUNK  OR 1 WBLC,DESTROYED,A-37,ATTACK
USAF,1970-09-16,F-4,4194,ARTILLERY,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-01-08,F-4,0998,TRUCKS,OBSERVED,F-4,"FIGHTER, BOMBER"
VNAF,1971-08-19,A-37,E431,TRENCH,DAMAGED,A-37,ATTACK
USAF,1971-07-11,F-4,7370,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-04-14,F-4,6844,CRATE\STORAGE CONT,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-28,A-37,E414,TUNNELS,DAMAGED,A-37,ATTACK
USAF,1971-10-21,A-37,5234,SAMPANS,DAMAGED,A-37,ATTACK
VNAF,1972-06-10,A-37,B130,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-04-12,A-1,D305,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-04-10,A-1,D298,ARTILLERY,DESTROYED,A-1,FIGHTER
USAF,1970-06-25,F-4,0450,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-10-10,A-37,C205,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-01-13,A-37,E439,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1970-12-15,F-4,0691,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-02-02,A-1,D307,TUNNELS,DESTROYED,A-1,FIGHTER
VNAF,1972-08-30,A-1,D325,AA SITE,DESTROYED,A-1,FIGHTER
VNAF,1971-07-06,F-5,D361,ARTILLERY,DAMAGED,F-5,FIGHTER
VNAF,1972-06-02,A-37,E420,TUNNELS,DESTROYED,A-37,ATTACK
USN,1972-09-13,A-7,9927,BRIDGES,DAMAGED,A-7,ATTACK
VNAF,1972-10-20,A-37,B116,CAVES,DESTROYED,A-37,ATTACK
USAF,1971-04-29,F-4,8155,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-03-31,A-37,E407,TUNNELS,DESTROYED,A-37,ATTACK
RAAF,1970-01-28,B-57,5000,TRENCH,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1971-10-29,A-1,D332,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-07-08,F-4,7030,130MM GUN SITE,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-04-24,AC-130,7924,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-01-03,A-1,D305,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1971-05-07,F-4,7307,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-02-09,A-37,E408,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1972-09-01,AC-130,5323,BOATS\BARGES,DAMAGED,AC-130,ATTACK
USMC,1973-01-23,A-4,8985,FOX HOLES,DESTROYED,A-4,FIGHTER
VNAF,1971-10-01,A-37,E440,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1971-08-03,A-37,E429,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-01-08,A-1,D314,FOX HOLES,DESTROYED,A-1,FIGHTER
USN,1972-04-08,A-7,3207,POL BARRELS,DESTROYED,A-7,ATTACK
RLAF,1970-08-27,T-28,7804,BRIDGE\ANY,DESTROYED,T-28,TRAIN
USAF,1970-12-31,F-100,4647,FOX HOLES,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1971-01-07,AC-130,1125,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1972-08-17,F-4,7038,85MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-01,F-4,8891,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-05-21,F-4,6930,SAM LAUNCHER\EQMT,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-10-11,A-37,E457,CAVES,DESTROYED,A-37,ATTACK
USAF,1972-11-02,F-4,1501,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-03-25,F-100,5914,RAILROAD BRIDGE,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1971-06-23,AC-119,4240,SAMPANS,DAMAGED,AC-119,TRANSPORT
VNAF,1973-01-11,A-1,D323,CAVES,DAMAGED,A-1,FIGHTER
VNAF,1972-08-18,A-37,E445,TUNNELS,DESTROYED,A-37,ATTACK
USN,1972-06-05,F-4,9833,BOATS\BARGES,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1973-01-22,A-7,9220,SUSP ENEMY LOC,DAMAGED,A-7,ATTACK
USN,1971-10-11,A-7,8532,TRUCKS,DAMAGED,A-7,ATTACK
VNAF,1971-09-05,A-37,E440,SAMPANS,DESTROYED,A-37,ATTACK
USN,1972-07-01,F-4,1354,WATERCRAFT,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-11-14,A-37,6210,SAMPANS,DESTROYED,A-37,ATTACK
USAF,1970-10-15,F-4,4791,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-05-13,A-37,C208,TRUCKS,DAMAGED,A-37,ATTACK
USAF,1973-04-30,F-4,6924,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-08-07,A-37,E422,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-08-10,A-37,E431,TUNNELS,DESTROYED,A-37,ATTACK
USMC,1970-12-17,A-6,0923,TRUCKS,DESTROYED,A-6,ATTACK
USN,1973-02-08,A-7,9313,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1970-11-04,F-4,1920,AAA\37MM  CR MORE,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-05-27,F-4,7303,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1970-05-18,A-1,D769,ARTILLERY,DAMAGED,A-1,FIGHTER
USAF,1970-08-08,F-100,5218,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-07-17,A-37,E409,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-05-20,F-4,7590,BOATS\BARGES,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-11-05,A-1,C600,CAVES,DESTROYED,A-1,FIGHTER
USAF,1972-12-17,F-4,7018,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1972-08-15,A-7,9734,TRUCKS,DESTROYED,A-7,ATTACK
USN,1972-07-06,A-7,1367,BOATS\BARGES,DAMAGED,A-7,ATTACK
USN,1972-06-05,A-6,1373,CAUSEWAY\DAM,DAMAGED,A-6,ATTACK
USN,1973-01-11,A-7,9811,23MM GUN SITE,DESTROYED,A-7,ATTACK
VNAF,1972-11-30,A-1,D301,CAVES,DESTROYED,A-1,FIGHTER
USN,1970-12-28,A-7,1754,TRUCKS,DESTROYED,A-7,ATTACK
RLAF,1971-05-25,T-28,1392,OX-CART,DESTROYED,T-28,TRAIN
USAF,1972-06-07,F-4,6155,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-12-09,F-4,6756,85MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-12,A-37,E444,TUNNELS,DAMAGED,A-37,ATTACK
USN,1972-12-02,A-7,9621,RAILROAD BRIDGE,DESTROYED,A-7,ATTACK
VNAF,1972-10-23,A-37,E411,FOX HOLES,DESTROYED,A-37,ATTACK
USN,1971-03-10,A-7,1751,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1972-10-15,F-4,7021,BULLDOZER,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1972-03-01,A-4,9033,TRUCKS,DAMAGED,A-4,FIGHTER
VNAF,1972-12-27,A-1,D344,ARTILLERY,DESTROYED,A-1,FIGHTER
USAF,1973-03-17,A-7,6814,BRIDGE\ANY,DESTROYED,A-7,ATTACK
USAF,1971-01-04,F-100,4840,SUPPLIES\RICE\WEAPONS,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1970-12-02,F-4,0930,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1970-04-26,A-37,E668,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-02-20,A-37,E411,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-07-02,A-37,5507,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-10-15,A-37,C207,CAVES,DESTROYED,A-37,ATTACK
USAF,1970-07-28,AC-130,1105,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1971-09-27,A-37,E402,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-06-11,A-1,D317,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1970-05-05,F-4,0471,AAA\37MM  CR MORE,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1970-09-12,A-37,E376,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-10-07,A-1,D349,CAVES,DESTROYED,A-1,FIGHTER
VNAF,1972-04-17,F-5,D380,MORTAR SITE,DESTROYED,F-5,FIGHTER
VNAF,1972-02-24,A-37,E405,TUNNELS,DESTROYED,A-37,ATTACK
