milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
VNAF,1973-01-18,A-1,D344,CAVES,DESTROYED,A-1,FIGHTER
USN,1972-08-25,A-7,9726,BOATS\BARGES,DAMAGED,A-7,ATTACK
USAF,1970-11-19,F-4,0655,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-07-11,A-37,B152,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-08-11,A-37,B108,TUNNELS,DESTROYED,A-37,ATTACK
USN,1972-06-24,A-4,9912,SUPPLIES\RICE\WEAPONS,DESTROYED,A-4,FIGHTER
USN,1970-01-03,A-6,1668,TRUCKS,OBSERVED,A-6,ATTACK
USAF,1973-01-07,A-7,6077,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1971-03-23,B-57,1230,TRUCKS,DESTROYED,B-57,"TACTICAL, BOMBER"
USAF,1973-05-11,F-4,6937,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-07-28,F-4,6187,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-08-18,F-8,9211,TANK,DESTROYED,F-8,"CARRIER, FIGHTER"
USN,1972-08-18,F-8,9211,TANK,DESTROYED,F-8,FIGHTER
USAF,1970-06-21,F-100,5308,TRENCH,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1971-06-26,A-1,D315,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1971-07-13,A-1,D334,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1973-03-17,A-7,6602,BRIDGE\ANY,DAMAGED,A-7,ATTACK
USAF,1970-12-31,A-1,7603,AMMO STORAGE\DUMP,DESTROYED,A-1,FIGHTER
VNAF,1972-09-01,A-37,E425,CAVES,DAMAGED,A-37,ATTACK
USN,1970-01-05,A-6,1865,TRUCKS,OBSERVED,A-6,ATTACK
USN,1972-10-11,A-7,9207,ARTILLERY,DESTROYED,A-7,ATTACK
USAF,1970-10-16,A-1,1483,CAVES,DAMAGED,A-1,FIGHTER
VNAF,1971-01-22,A-37,E700,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-11-06,F-4,1486,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-09-22,A-1,D335,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-06-04,A-37,E403,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-11-22,A-1,D359,CAVES,DAMAGED,A-1,FIGHTER
USAF,1971-05-07,F-4,7725,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-05-11,AC-119,1537,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1972-10-21,A-37,B117,CAVES,DESTROYED,A-37,ATTACK
USAF,1973-05-10,F-4,6820,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-02-18,F-100,5801,FOX HOLES,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1971-05-17,AC-130,7925,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1971-04-07,A-37,E114,TRENCH,DESTROYED,A-37,ATTACK
USAF,1973-01-15,A-7,6009,BULLDOZER,DESTROYED,A-7,ATTACK
VNAF,1970-12-26,A-37,E129,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-09-15,A-37,5220,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1972-02-23,F-4,5440,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-03-05,A-1,D325,TUNNELS,DESTROYED,A-1,FIGHTER
USN,1972-04-26,A-6,9353,BOATS\BARGES,DESTROYED,A-6,ATTACK
USAF,1970-09-03,F-4,0404,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-07-28,A-37,4274,MILITARY VEHICLES,DAMAGED,A-37,ATTACK
USAF,1973-01-08,F-4,7134,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-11-09,A-1,D331,FOX HOLES,DESTROYED,A-1,FIGHTER
USMC,1973-08-08,F-4,6758,MACHINE GUN (ANY),DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-04-25,A-37,E440,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1970-05-11,F-100,5003,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
